"model","median training AUC","mean training AUC","mean training sensitivity","mean training specificity","mean training pAUC (sensitivity 0.8 - 1)","mean training pAUC (specificity 0.8 -1)","mean training prediction accuracy","mean training correlation","mean training kappa"
"kde / kde",0.993,0.986,0.936,0.94,0.966,0.966,0.94,0.253,0.386
"kde / rangebagging",0.992,0.973,0.94,0.946,0.932,0.932,0.948,0.455,0.513
"kde / none",0.991,0.973,0.942,0.946,0.931,0.931,0.948,0.454,0.513
"kde / gaussian",0.954,0.936,0.936,0.832,0.848,0.848,0.835,0.068,0.161
"ulsif",0.954,0.935,0.936,0.761,0.874,0.874,0.768,0.398,0.218
"vine / kde",0.951,0.928,0.938,0.769,0.848,0.848,0.774,0.184,0.122
"kde / vine",0.949,0.927,0.936,0.728,0.861,0.861,0.733,0.119,0.147
"rulsif",0.948,0.923,0.936,0.733,0.851,0.851,0.74,0.272,0.112
"lobagoc / kde",0.939,0.92,0.939,0.754,0.83,0.83,0.759,0.191,0.115
"vine / gaussian",0.934,0.916,0.938,0.753,0.826,0.826,0.761,0.087,0.094
"vine / vine",0.935,0.915,0.938,0.71,0.839,0.839,0.716,0.121,0.104
"maxnet",0.918,0.909,0.936,0.687,0.817,0.817,0.691,0.148,0.088
"lobagoc / gaussian",0.91,0.896,0.94,0.728,0.779,0.779,0.735,0.116,0.09
"gaussian / kde",0.913,0.89,0.938,0.633,0.8,0.8,0.639,0.205,0.077
"lobagoc / vine",0.901,0.888,0.94,0.709,0.766,0.766,0.715,0.087,0.091
"vine / rangebagging",0.906,0.883,0.938,0.691,0.778,0.778,0.7,0.14,0.077
"vine / none",0.905,0.882,0.938,0.69,0.778,0.778,0.699,0.14,0.076
"rangebagging / rangebagging",0.898,0.881,0.943,0.705,0.757,0.757,0.713,0.145,0.094
"rangebagging / none",0.893,0.876,0.942,0.694,0.75,0.75,0.702,0.143,0.094
"gaussian / gaussian",0.883,0.875,0.938,0.639,0.756,0.756,0.645,0.042,0.07
"lobagoc / lobagoc",0.905,0.871,0.942,0.698,0.726,0.726,0.707,0.113,0.076
"gaussian / vine",0.865,0.849,0.938,0.542,0.74,0.74,0.549,0.054,0.063
"lobagoc / rangebagging",0.843,0.836,0.941,0.698,0.691,0.691,0.707,0.158,0.075
"lobagoc / none",0.842,0.832,0.944,0.696,0.688,0.688,0.705,0.158,0.076
"rangebagging / kde",0.831,0.815,0.939,0.463,0.74,0.74,0.472,0.156,0.065
"gaussian / rangebagging",0.823,0.815,0.938,0.509,0.701,0.701,0.518,0.143,0.045
"gaussian / none",0.823,0.815,0.938,0.508,0.701,0.701,0.517,0.143,0.045
"rangebagging / vine",0.69,0.698,0.939,0.304,0.603,0.603,0.315,0.012,0.029
"rangebagging / gaussian",0.672,0.674,0.939,0.304,0.595,0.595,0.318,0.001,0.019
"gaussian / lobagoc",NA,NA,0.938,0.536,NA,NA,0.544,NA,0.048
"kde / lobagoc",NA,NA,0.941,0.942,NA,NA,0.944,NA,0.381
"rangebagging / lobagoc",NA,NA,0.943,0.702,NA,NA,0.71,NA,0.078
"vine / lobagoc",NA,NA,0.938,0.701,NA,NA,0.709,NA,0.076
