"model","pa_AUC","pa_pAUC_specificity","pa_pAUC_sensitivity","pa_DOR","pa_prediction_accuracy","pa_sensitivity","pa_specificity","pa_correlation","pa_kappa"
"ulsif",22544,17756.5,17905,21487.5,19899,14879.5,19382,22660,22056.5
"rulsif",23198,18225.5,18618,23147.5,18092.5,17222,16415.5,25538,23395.5
"maxnet",25312.5,18818,22472,27283,12218,25312.5,9107.5,24189,25086
"rangebagging / rangebagging",20827,15086,17321,21595.5,16001,14492.5,13895,23391,24522.5
"rangebagging / gaussian",7598,4367,7098,15537.5,1758,30725.5,1051,5058,10618
"rangebagging / kde",8671,4550,8440,17449.5,2161.5,31548,1451,5465,12379
"rangebagging / vine",6375,3367,5904,19830,1226,36536,556,4423,10434.5
"gaussian / rangebagging",21780,15884,17995,24170.5,10384,25225,7947,20074,22148
"gaussian / gaussian",22493,15210.5,20632,26463,12102,25636,8869.5,8594,23626
"gaussian / kde",23186,17309,19569.5,25312.5,11598,25129,9009,14634,23117.5
"gaussian / vine",19384,13032.5,16994,25120.5,8782,29626,6334.5,7190,19756.5
"kde / rangebagging",22196,16631,18320,16359.5,30785,2456,35018,20443,19729
"kde / gaussian",21369,14614,19174,19613.5,20766,9329.5,18676.5,7134,23930
"kde / kde",23413,17686.5,19742,21121.5,25312.5,6829,25312.5,12573,25312.5
"kde / vine",19539,13733,16783,21674,16563,17482,14555.5,7270,22090
"vine / rangebagging",21366,15442,18040,21646.5,16697.5,15590.5,14342,13750,23255.5
"vine / gaussian",21968,15540,19001,22341,17884.5,15381.5,15414.5,9050,24255.5
"vine / kde",22281,16631,18852,22626,17799.5,15233.5,15543,11990,24526
"vine / vine",21006,15661.5,17585,23097,15672,19371.5,12988.5,9914,23061
"lobagoc / rangebagging",16397,13585,9615,20528.5,16979.5,13069,14325.5,21224,24138.5
"lobagoc / gaussian",16685,14599,9863,20968.5,16823.5,12818.5,13763,9575,24502
"lobagoc / kde",16698,13949.5,9802,20804.5,16631,13516.5,13789,11546,24797
"lobagoc / vine",16461,13536,9888,21210.5,14985,15234,11936,8654,24297
"rangebagging / none",20686,14887,16994,21979.5,15543.5,15487,13540.5,23267,24320.5
"gaussian / none",21775,15879,17984,24183.5,10362.5,25268,7932,20068,22127
"kde / none",22189,16626,18324,16379.5,30770.5,2460,35005,20418,19730
"vine / none",21337,15398,18002.5,21604.5,16677,15624.5,14338.5,13697,23271.5
"lobagoc / none",16417,13398.5,9763,20650.5,16856.5,12978,14189.5,21320,24074.5
"rangebagging / lobagoc",19842.5,14535.5,15443,18075,11812,23598,10335,18918,20644
"gaussian / lobagoc",21063,15823,16334,19630.5,8589,29226,6475,19870,19833.5
"kde / lobagoc",21168.5,16426,16263,14492,25188.5,10019.5,29188.5,19452,18439.5
"vine / lobagoc",21440,16264,16634,18130,14274.5,21957.5,12808,13224,21261
"lobagoc / lobagoc",16202,13290,9161,17090,14572.5,18568,12337,20240,22260.5
